Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,4266.04,наличный,Витебск,Белинвестбанк-ABTK-633,20-09-2004,12:43:54,недостаточно средств,да,189.09
юр. лицо,списание средств,2515.33,наличный,Витебск,Беларусбанк-AYQN-303,28-11-2021,11:21:08,недостаточно средств,да,228.31
юр. лицо,списание средств,4106.81,наличный,Гродно,Приорбанк-NJMX-781,26-07-2016,01:11:22,недостаточно средств,да,375.42
физ. лицо,списание средств,764.94,безналичный,Минск,Белинвестбанк-FZHM-137,18-09-2017,10:22:42,недостаточно средств,да,16.54
физ. лицо,списание средств,473.28,безналичный,Минск,БелАгропромбанк-GKSO-619,12-08-2020,23:26:41,недостаточно средств,да,45.46
юр. лицо,списание средств,3091.32,безналичный,Минск,Беларусбанк-HBVL-469,20-10-2010,08:48:53,неправильный ввод пин-кода,да,164.95
юр. лицо,списание средств,1735.8,безналичный,Брест,МаксБанк-FIXV-449,11-10-2017,06:34:22,успешно,да,52.93
юр. лицо,списание средств,239.74,наличный,Витебск,Белинвестбанк-AOFV-546,12-11-2002,01:14:35,неправильный ввод пин-кода,да,22.74
физ. лицо,списание средств,4291.76,безналичный,Брест,БелАгропромбанк-SZBA-088,13-11-2021,06:45:55,недостаточно средств,да,321.92
юр. лицо,списание средств,2860.79,наличный,Минск,Белинвестбанк-CHGG-671,11-06-2024,05:00:26,успешно,да,148.04
физ. лицо,списание средств,1235.68,безналичный,Гродно,Белинвестбанк-GDCB-918,18-04-2018,07:26:22,недостаточно средств,да,27.31
физ. лицо,списание средств,4716.86,наличный,Могилев,МаксБанк-WCRL-742,08-02-2024,04:56:27,неправильный ввод пин-кода,да,434.6
юр. лицо,списание средств,2838.47,безналичный,Витебск,БелАгропромбанк-NBGC-321,26-12-2002,05:27:22,неправильный ввод пин-кода,да,40.17
юр. лицо,списание средств,3948.93,безналичный,Гомель,БелАгропромбанк-POQM-152,16-05-2012,18:17:41,успешно,да,340.91
физ. лицо,списание средств,1513.89,наличный,Гродно,МаксБанк-MBGW-748,05-10-2003,22:59:45,неправильный ввод пин-кода,да,119.21
юр. лицо,списание средств,4657.72,безналичный,Минск,Беларусбанк-SUGJ-150,06-09-2008,03:48:57,неправильный ввод пин-кода,да,287.2
юр. лицо,списание средств,3759.38,безналичный,Брест,Белинвестбанк-PLMZ-668,01-07-2018,11:37:35,недостаточно средств,да,175.94
физ. лицо,списание средств,4727.42,безналичный,Минск,БелАгропромбанк-WQKU-115,07-05-2004,17:54:28,успешно,да,295.61
юр. лицо,списание средств,2053.73,наличный,Минск,МаксБанк-RZBG-216,28-07-2002,19:19:36,неправильный ввод пин-кода,да,70.37
физ. лицо,списание средств,4063.25,безналичный,Гродно,Приорбанк-TAJC-557,21-02-2013,12:46:09,недостаточно средств,да,332.98
физ. лицо,списание средств,1214.16,наличный,Брест,Беларусбанк-COVP-157,26-04-2000,06:48:35,успешно,да,104.03
физ. лицо,списание средств,3079.11,наличный,Брест,Приорбанк-XISN-083,23-11-2010,00:46:34,неправильный ввод пин-кода,да,112.01
физ. лицо,списание средств,2892.95,наличный,Гомель,БелАгропромбанк-KUPS-571,21-07-2021,11:01:55,недостаточно средств,да,247.65
юр. лицо,списание средств,141.39,наличный,Витебск,Приорбанк-IOQX-235,02-11-2019,08:42:11,успешно,да,7.0
юр. лицо,списание средств,376.91,наличный,Витебск,Беларусбанк-CRED-850,16-12-2000,19:35:26,успешно,да,24.11
физ. лицо,списание средств,4140.85,безналичный,Гомель,Беларусбанк-BJJE-307,06-02-2024,11:02:04,неправильный ввод пин-кода,да,411.45
физ. лицо,списание средств,1720.69,наличный,Минск,БелАгропромбанк-XKXB-132,13-04-2019,12:46:50,неправильный ввод пин-кода,да,80.27
юр. лицо,списание средств,4001.68,наличный,Гомель,БелАгропромбанк-RAWR-383,15-11-2003,03:32:05,успешно,да,44.57
физ. лицо,списание средств,711.75,безналичный,Гомель,МаксБанк-QJMV-767,05-11-2019,23:46:24,неправильный ввод пин-кода,да,38.56
юр. лицо,списание средств,3394.84,наличный,Витебск,МаксБанк-EHWH-128,07-07-2011,15:21:52,неправильный ввод пин-кода,да,289.09
юр. лицо,списание средств,4971.23,безналичный,Гомель,БелАгропромбанк-CLVV-571,06-03-2006,09:52:59,неправильный ввод пин-кода,да,179.03
физ. лицо,списание средств,1074.32,наличный,Минск,Беларусбанк-GIER-950,05-11-2020,23:12:08,неправильный ввод пин-кода,да,78.66
физ. лицо,списание средств,2020.41,наличный,Могилев,Приорбанк-HGDQ-583,10-04-2016,05:52:32,недостаточно средств,да,75.14
юр. лицо,списание средств,3001.66,наличный,Минск,Приорбанк-KYDQ-729,14-06-2009,14:36:37,неправильный ввод пин-кода,да,77.16
физ. лицо,списание средств,1802.62,наличный,Минск,МаксБанк-SJXC-706,17-03-2011,14:44:59,успешно,да,69.94
физ. лицо,списание средств,1576.02,наличный,Гродно,МаксБанк-RDQJ-858,03-10-2017,08:14:28,неправильный ввод пин-кода,да,41.5
юр. лицо,списание средств,4653.54,безналичный,Минск,Беларусбанк-QWYF-744,13-11-2018,16:08:49,неправильный ввод пин-кода,да,102.06
юр. лицо,списание средств,4314.48,безналичный,Гродно,Белинвестбанк-OUAL-806,03-06-2003,22:48:20,недостаточно средств,да,363.35
юр. лицо,списание средств,3338.56,безналичный,Минск,Приорбанк-FHVW-099,18-08-2015,10:53:00,неправильный ввод пин-кода,да,123.22
физ. лицо,списание средств,3032.95,наличный,Брест,Приорбанк-IRNC-371,06-09-2012,16:56:25,успешно,да,141.55
юр. лицо,списание средств,3981.14,наличный,Минск,МаксБанк-ICSN-019,02-08-2002,20:59:28,недостаточно средств,да,273.16
физ. лицо,списание средств,3132.88,наличный,Гомель,МаксБанк-PXCQ-545,06-10-2013,07:45:01,неправильный ввод пин-кода,да,289.58
юр. лицо,списание средств,832.78,наличный,Витебск,МаксБанк-CJIX-230,05-07-2020,14:17:29,успешно,да,14.16
юр. лицо,списание средств,4618.61,безналичный,Могилев,МаксБанк-XPZD-768,18-05-2003,13:16:17,недостаточно средств,да,353.23
юр. лицо,списание средств,2118.92,наличный,Гродно,Белинвестбанк-NBBZ-818,02-01-2004,01:03:52,успешно,да,62.79
юр. лицо,списание средств,2133.16,безналичный,Гродно,Беларусбанк-LGTR-824,09-02-2010,07:56:20,успешно,да,148.47
физ. лицо,списание средств,4199.41,безналичный,Витебск,Беларусбанк-SGYU-484,15-07-2024,16:28:21,недостаточно средств,да,117.12
физ. лицо,списание средств,4567.21,безналичный,Гродно,Белинвестбанк-YNYL-579,28-03-2003,22:13:44,неправильный ввод пин-кода,да,261.25
физ. лицо,списание средств,1594.36,безналичный,Гродно,БелАгропромбанк-HBIF-485,06-05-2021,23:45:59,успешно,да,153.31
юр. лицо,списание средств,95.29,безналичный,Витебск,Приорбанк-KWOB-892,09-02-2020,10:51:09,неправильный ввод пин-кода,да,6.04
физ. лицо,списание средств,3051.66,безналичный,Могилев,Белинвестбанк-ZAYO-982,31-12-2016,22:21:30,недостаточно средств,да,228.98
юр. лицо,списание средств,372.68,безналичный,Брест,Беларусбанк-AWHZ-840,01-12-2017,09:25:01,неправильный ввод пин-кода,да,17.57
юр. лицо,списание средств,2573.91,безналичный,Гомель,МаксБанк-WGTQ-433,16-02-2008,10:42:55,неправильный ввод пин-кода,да,186.33
физ. лицо,списание средств,1880.66,безналичный,Витебск,Приорбанк-LRHM-262,17-10-2020,16:42:09,успешно,да,180.55
юр. лицо,списание средств,8.9,наличный,Брест,БелАгропромбанк-SIGU-179,06-10-2020,05:08:32,неправильный ввод пин-кода,да,0.65
физ. лицо,списание средств,2468.75,безналичный,Минск,Приорбанк-FLYM-927,12-02-2023,11:29:26,недостаточно средств,да,209.22
физ. лицо,списание средств,4107.53,наличный,Гомель,БелАгропромбанк-VRYI-907,21-11-2007,15:01:52,неправильный ввод пин-кода,да,280.24
юр. лицо,списание средств,348.03,наличный,Гомель,МаксБанк-ACJJ-651,10-08-2012,10:29:25,успешно,да,15.28
юр. лицо,списание средств,3084.56,безналичный,Витебск,МаксБанк-FHAU-775,12-03-2011,19:34:37,недостаточно средств,да,284.47
юр. лицо,списание средств,3112.39,наличный,Витебск,Приорбанк-CNMG-140,28-07-2009,08:05:48,успешно,да,242.17
юр. лицо,списание средств,1343.34,безналичный,Брест,БелАгропромбанк-NOXI-596,27-11-2001,10:56:40,неправильный ввод пин-кода,да,107.57
физ. лицо,списание средств,765.87,наличный,Могилев,МаксБанк-ZYDR-835,05-04-2020,05:08:41,успешно,да,47.64
физ. лицо,списание средств,883.37,наличный,Витебск,Приорбанк-TBEW-463,30-05-2005,06:49:48,неправильный ввод пин-кода,да,75.69
юр. лицо,списание средств,1466.36,безналичный,Витебск,Беларусбанк-WMMJ-664,23-02-2017,13:49:04,успешно,да,117.75
юр. лицо,списание средств,1996.94,наличный,Витебск,МаксБанк-JURB-865,10-08-2001,13:19:43,недостаточно средств,да,161.62
юр. лицо,списание средств,3550.65,безналичный,Брест,МаксБанк-NWYJ-125,23-05-2021,15:35:34,неправильный ввод пин-кода,да,172.91
физ. лицо,списание средств,1864.06,наличный,Могилев,Приорбанк-ZPCQ-142,06-10-2009,18:16:57,неправильный ввод пин-кода,да,114.8
юр. лицо,списание средств,2022.8,безналичный,Могилев,Белинвестбанк-MJAM-861,07-06-2012,17:46:33,неправильный ввод пин-кода,да,97.58
физ. лицо,списание средств,741.1,наличный,Минск,МаксБанк-ONRF-671,22-08-2001,18:48:08,неправильный ввод пин-кода,да,12.48
юр. лицо,списание средств,3584.03,безналичный,Могилев,МаксБанк-QMZX-602,12-12-2017,01:43:07,неправильный ввод пин-кода,да,353.76
юр. лицо,списание средств,2922.73,безналичный,Гомель,БелАгропромбанк-FHRW-953,16-11-2017,06:48:30,успешно,да,266.68
физ. лицо,списание средств,4373.69,наличный,Витебск,МаксБанк-LIXX-848,08-08-2010,07:42:29,успешно,да,52.08
юр. лицо,списание средств,2682.61,безналичный,Гродно,Беларусбанк-OJUK-236,09-12-2023,20:19:35,неправильный ввод пин-кода,да,268.14
физ. лицо,списание средств,3469.42,безналичный,Витебск,БелАгропромбанк-ILXI-451,21-06-2008,02:13:48,недостаточно средств,да,306.99
юр. лицо,списание средств,4148.4,наличный,Могилев,Белинвестбанк-VNRT-579,28-04-2009,18:06:46,успешно,да,345.02
физ. лицо,списание средств,4608.24,безналичный,Витебск,Приорбанк-MPSW-578,14-05-2004,13:56:42,недостаточно средств,да,97.46
физ. лицо,списание средств,1994.85,безналичный,Брест,Беларусбанк-UKDI-870,09-06-2015,13:31:12,неправильный ввод пин-кода,да,134.7
юр. лицо,списание средств,2718.18,наличный,Могилев,Белинвестбанк-UWIF-347,14-01-2002,22:21:30,неправильный ввод пин-кода,да,225.3
физ. лицо,списание средств,3448.37,безналичный,Брест,Беларусбанк-VGYZ-448,01-03-2005,04:03:58,успешно,да,256.51
юр. лицо,списание средств,1348.83,наличный,Могилев,МаксБанк-FHWE-554,08-09-2014,08:03:46,успешно,да,60.47
физ. лицо,списание средств,2912.59,наличный,Гродно,БелАгропромбанк-ZSKG-498,28-03-2001,11:13:32,недостаточно средств,да,258.35
физ. лицо,списание средств,520.71,безналичный,Гомель,Беларусбанк-OMCZ-664,22-08-2024,21:35:31,неправильный ввод пин-кода,да,45.88
юр. лицо,списание средств,4697.46,наличный,Гродно,МаксБанк-GOSO-582,17-01-2017,18:07:53,успешно,да,367.58
юр. лицо,списание средств,456.89,наличный,Брест,Белинвестбанк-HTLF-045,24-07-2016,16:37:18,неправильный ввод пин-кода,да,7.15
физ. лицо,списание средств,3059.53,безналичный,Брест,БелАгропромбанк-FDLI-198,19-03-2012,19:27:03,успешно,да,299.03
физ. лицо,списание средств,1241.29,наличный,Гомель,МаксБанк-KHSO-710,13-12-2021,19:08:41,успешно,да,94.87
физ. лицо,списание средств,4352.57,безналичный,Брест,Беларусбанк-SJGT-791,07-02-2015,23:41:47,неправильный ввод пин-кода,да,156.63
физ. лицо,списание средств,259.59,наличный,Гомель,Беларусбанк-UYNQ-509,13-11-2012,20:56:21,успешно,да,23.7
юр. лицо,списание средств,459.78,наличный,Могилев,МаксБанк-EILZ-705,11-04-2000,06:42:09,недостаточно средств,да,6.33
физ. лицо,списание средств,929.68,безналичный,Минск,Беларусбанк-RHZE-810,10-10-2019,10:28:32,успешно,да,12.34
юр. лицо,списание средств,192.68,наличный,Могилев,Белинвестбанк-OTHG-642,27-09-2014,06:59:01,успешно,да,3.67
физ. лицо,списание средств,3308.09,безналичный,Брест,Беларусбанк-XXKV-097,11-07-2005,17:15:55,неправильный ввод пин-кода,да,215.16
юр. лицо,списание средств,4375.43,безналичный,Брест,Беларусбанк-HWPM-333,23-06-2010,06:08:54,успешно,да,133.1
физ. лицо,списание средств,3701.89,безналичный,Минск,Приорбанк-BYTA-892,09-09-2007,09:14:56,недостаточно средств,да,65.47
физ. лицо,списание средств,519.23,безналичный,Брест,Беларусбанк-YVFX-481,05-12-2020,15:18:12,недостаточно средств,да,17.21
юр. лицо,списание средств,436.16,наличный,Минск,Белинвестбанк-NQPT-946,27-04-2011,12:14:02,недостаточно средств,да,35.71
физ. лицо,списание средств,1708.93,наличный,Гомель,Белинвестбанк-LMMA-955,31-08-2009,04:24:09,успешно,да,167.89
физ. лицо,списание средств,4379.22,безналичный,Витебск,МаксБанк-JQNA-549,01-04-2013,06:17:34,успешно,да,167.31
юр. лицо,списание средств,4589.39,безналичный,Гродно,БелАгропромбанк-CUYR-569,17-09-2012,03:45:32,недостаточно средств,да,436.89
юр. лицо,списание средств,4620.26,наличный,Гомель,Приорбанк-TRHA-729,15-10-2018,04:15:03,успешно,да,428.84
физ. лицо,списание средств,4906.77,наличный,Гомель,БелАгропромбанк-ZYRW-087,25-08-2004,20:40:30,успешно,да,100.43
юр. лицо,списание средств,304.69,безналичный,Гомель,МаксБанк-JILC-692,10-08-2012,08:39:32,неправильный ввод пин-кода,да,17.97
физ. лицо,списание средств,848.26,наличный,Брест,Беларусбанк-ECWV-972,01-04-2017,17:28:40,неправильный ввод пин-кода,да,79.8
юр. лицо,списание средств,1789.98,наличный,Могилев,МаксБанк-JDWD-610,23-11-2016,18:07:45,неправильный ввод пин-кода,да,115.19
юр. лицо,списание средств,4769.65,наличный,Могилев,Белинвестбанк-MTRR-088,30-04-2015,17:25:35,неправильный ввод пин-кода,да,408.92
физ. лицо,списание средств,1912.3,безналичный,Гомель,Белинвестбанк-IECB-423,19-11-2015,03:24:33,неправильный ввод пин-кода,да,158.1
физ. лицо,списание средств,377.04,безналичный,Витебск,Беларусбанк-UYAT-523,01-08-2014,07:35:31,неправильный ввод пин-кода,да,19.95
физ. лицо,списание средств,1372.82,наличный,Минск,Приорбанк-SVTX-622,26-06-2012,10:17:54,успешно,да,135.0
юр. лицо,списание средств,1420.9,безналичный,Могилев,Белинвестбанк-WIPR-052,25-12-2008,05:40:58,неправильный ввод пин-кода,да,33.21
физ. лицо,списание средств,1795.51,наличный,Брест,Белинвестбанк-VQOE-672,10-10-2000,12:48:39,неправильный ввод пин-кода,да,80.2
юр. лицо,списание средств,2595.82,безналичный,Брест,Беларусбанк-AEOM-285,17-06-2022,13:11:30,недостаточно средств,да,61.62
юр. лицо,списание средств,2762.61,безналичный,Гродно,Белинвестбанк-NWWM-874,05-08-2004,11:14:32,недостаточно средств,да,148.12
юр. лицо,списание средств,1138.23,безналичный,Брест,Белинвестбанк-YQNS-829,17-08-2008,02:30:34,успешно,да,85.18
физ. лицо,списание средств,4451.84,безналичный,Брест,БелАгропромбанк-QLSW-006,23-06-2013,07:45:39,успешно,да,111.91
юр. лицо,списание средств,2690.16,безналичный,Могилев,МаксБанк-QNLE-092,19-08-2014,06:59:28,недостаточно средств,да,123.81
юр. лицо,списание средств,3766.48,безналичный,Брест,Беларусбанк-JRJW-198,25-09-2021,10:17:52,успешно,да,214.37
физ. лицо,списание средств,1328.07,наличный,Брест,Белинвестбанк-HSNS-951,14-03-2017,23:20:03,успешно,да,70.0
юр. лицо,списание средств,3703.93,наличный,Гродно,МаксБанк-KMDV-679,09-02-2003,09:34:33,успешно,да,317.99
физ. лицо,списание средств,1932.36,безналичный,Могилев,Беларусбанк-HJVV-502,09-04-2023,01:59:43,неправильный ввод пин-кода,да,88.11
юр. лицо,списание средств,4664.71,безналичный,Брест,МаксБанк-ZBKC-892,28-01-2014,07:08:29,неправильный ввод пин-кода,да,170.77
физ. лицо,списание средств,4720.24,наличный,Брест,МаксБанк-QYXU-776,05-09-2016,08:44:26,успешно,да,215.94
юр. лицо,списание средств,4099.73,безналичный,Минск,Беларусбанк-BJTF-255,21-12-2015,09:56:36,недостаточно средств,да,272.23
юр. лицо,списание средств,525.07,безналичный,Витебск,БелАгропромбанк-EBKT-492,17-05-2022,09:55:25,неправильный ввод пин-кода,да,34.76
юр. лицо,списание средств,3255.25,безналичный,Брест,МаксБанк-MZNF-958,15-10-2002,02:31:03,неправильный ввод пин-кода,да,118.58
юр. лицо,списание средств,4263.62,наличный,Витебск,БелАгропромбанк-WMFH-827,04-01-2011,22:34:15,успешно,да,351.94
физ. лицо,списание средств,244.14,наличный,Витебск,Приорбанк-SZEI-541,06-06-2016,04:45:27,успешно,да,18.67
физ. лицо,списание средств,712.39,безналичный,Гродно,Белинвестбанк-VVEN-826,02-02-2008,10:18:30,неправильный ввод пин-кода,да,68.47
физ. лицо,списание средств,1771.85,безналичный,Минск,Приорбанк-EBJL-754,22-01-2019,04:49:08,неправильный ввод пин-кода,да,108.46
юр. лицо,списание средств,1307.3,безналичный,Гродно,МаксБанк-DMQV-247,11-04-2014,09:51:13,недостаточно средств,да,72.4
юр. лицо,списание средств,2167.72,наличный,Гродно,Беларусбанк-BNGF-342,24-05-2007,20:29:48,недостаточно средств,да,27.2
физ. лицо,списание средств,967.45,наличный,Минск,БелАгропромбанк-ETWK-632,31-08-2019,15:33:54,недостаточно средств,да,11.72
физ. лицо,списание средств,3927.82,наличный,Брест,БелАгропромбанк-YZXC-405,06-09-2024,09:08:35,недостаточно средств,да,206.67
физ. лицо,списание средств,3503.81,наличный,Витебск,БелАгропромбанк-BZTY-639,06-03-2023,13:55:16,неправильный ввод пин-кода,да,311.48
юр. лицо,списание средств,1970.95,безналичный,Гродно,БелАгропромбанк-MENA-767,29-10-2019,05:38:32,успешно,да,175.91
юр. лицо,списание средств,2017.81,безналичный,Минск,Белинвестбанк-RBEA-437,05-11-2019,23:45:58,неправильный ввод пин-кода,да,201.61
физ. лицо,списание средств,283.4,безналичный,Брест,Беларусбанк-VHYC-801,11-04-2018,21:47:15,неправильный ввод пин-кода,да,13.89
физ. лицо,списание средств,2217.95,безналичный,Могилев,МаксБанк-AOYY-243,17-01-2024,08:04:02,неправильный ввод пин-кода,да,144.41
юр. лицо,списание средств,4516.67,наличный,Гомель,Приорбанк-BPBV-269,15-03-2004,12:15:31,успешно,да,437.76
юр. лицо,списание средств,1381.57,наличный,Витебск,Приорбанк-PYTI-452,05-12-2013,03:58:29,успешно,да,112.08
юр. лицо,списание средств,4952.77,безналичный,Брест,Белинвестбанк-CCGC-108,10-03-2003,05:44:49,недостаточно средств,да,166.18
юр. лицо,списание средств,3327.53,безналичный,Гомель,МаксБанк-KMWV-224,20-01-2016,05:29:15,недостаточно средств,да,260.87
физ. лицо,списание средств,4099.23,наличный,Гродно,Беларусбанк-FBMC-292,23-01-2019,23:49:34,недостаточно средств,да,217.18
юр. лицо,списание средств,4669.96,наличный,Витебск,Беларусбанк-JNXC-524,04-08-2021,08:07:53,успешно,да,152.05
физ. лицо,списание средств,1038.19,наличный,Гомель,Приорбанк-UESW-830,08-08-2008,11:04:17,неправильный ввод пин-кода,да,14.79
юр. лицо,списание средств,1639.66,наличный,Гродно,Беларусбанк-UZGS-807,07-06-2018,00:30:07,неправильный ввод пин-кода,да,110.35
юр. лицо,списание средств,3199.42,наличный,Витебск,Беларусбанк-NKIS-315,31-01-2014,03:40:13,успешно,да,96.4
физ. лицо,списание средств,2643.17,наличный,Гомель,БелАгропромбанк-VMKU-416,16-03-2003,21:13:43,недостаточно средств,да,60.74
юр. лицо,списание средств,2595.75,наличный,Минск,Приорбанк-RPLE-541,23-05-2014,23:35:59,неправильный ввод пин-кода,да,76.1
юр. лицо,списание средств,4749.29,наличный,Могилев,БелАгропромбанк-QQND-745,23-09-2018,04:07:37,неправильный ввод пин-кода,да,203.1
физ. лицо,списание средств,3081.52,безналичный,Гродно,Приорбанк-IKLW-751,22-09-2002,21:28:59,неправильный ввод пин-кода,да,88.06
юр. лицо,списание средств,3602.19,безналичный,Витебск,Белинвестбанк-GHXT-310,01-04-2024,17:36:38,неправильный ввод пин-кода,да,287.91
юр. лицо,списание средств,3766.81,наличный,Гродно,БелАгропромбанк-MYGQ-527,11-08-2005,18:01:14,успешно,да,115.92
физ. лицо,списание средств,4539.21,наличный,Гродно,Приорбанк-MVBO-925,27-08-2013,19:29:14,успешно,да,369.03
физ. лицо,списание средств,2434.81,безналичный,Витебск,Белинвестбанк-RFUG-119,27-12-2022,11:06:08,недостаточно средств,да,87.43
юр. лицо,списание средств,3070.55,безналичный,Гродно,Белинвестбанк-SVVN-987,31-01-2003,14:44:15,успешно,да,113.65
юр. лицо,списание средств,2116.21,безналичный,Брест,МаксБанк-GOCF-367,30-01-2004,21:42:09,успешно,да,73.18
физ. лицо,списание средств,404.56,безналичный,Брест,Белинвестбанк-YZPO-382,10-09-2001,05:52:33,успешно,да,14.57
юр. лицо,списание средств,2931.41,безналичный,Брест,Приорбанк-IBEC-881,22-03-2006,19:45:19,неправильный ввод пин-кода,да,127.66
физ. лицо,списание средств,0.59,безналичный,Минск,БелАгропромбанк-QSCW-415,07-05-2019,17:42:44,недостаточно средств,да,0.02
юр. лицо,списание средств,4953.42,наличный,Брест,Беларусбанк-HWCZ-424,05-02-2009,17:39:24,недостаточно средств,да,292.39
юр. лицо,списание средств,3146.71,безналичный,Брест,Белинвестбанк-NAZO-052,04-03-2020,00:15:29,неправильный ввод пин-кода,да,127.75
физ. лицо,списание средств,1876.26,наличный,Минск,Белинвестбанк-RFPQ-141,15-04-2011,23:26:57,успешно,да,56.99
физ. лицо,списание средств,4017.07,наличный,Витебск,МаксБанк-XDNS-499,11-06-2000,02:20:42,неправильный ввод пин-кода,да,82.56
физ. лицо,списание средств,2153.4,безналичный,Брест,МаксБанк-PJQF-830,01-08-2019,10:49:22,неправильный ввод пин-кода,да,173.08
физ. лицо,списание средств,3749.29,безналичный,Могилев,БелАгропромбанк-CFYW-869,16-08-2021,14:00:00,недостаточно средств,да,213.91
юр. лицо,списание средств,1867.72,безналичный,Гродно,Беларусбанк-JDJG-816,16-11-2004,23:48:33,недостаточно средств,да,83.09
физ. лицо,списание средств,834.46,безналичный,Минск,Приорбанк-ULUE-337,13-01-2005,17:26:35,неправильный ввод пин-кода,да,81.57
юр. лицо,списание средств,2274.52,наличный,Витебск,Приорбанк-EKLS-005,30-10-2002,23:31:24,успешно,да,121.85
физ. лицо,списание средств,3563.74,наличный,Гродно,Беларусбанк-NBYI-019,04-10-2001,14:04:14,недостаточно средств,да,64.24
юр. лицо,списание средств,4661.34,безналичный,Минск,БелАгропромбанк-XJDS-107,27-05-2012,06:40:47,неправильный ввод пин-кода,да,103.89
юр. лицо,списание средств,3633.07,безналичный,Брест,Беларусбанк-RXMS-244,15-02-2014,02:05:31,недостаточно средств,да,184.06
юр. лицо,списание средств,2986.52,наличный,Могилев,МаксБанк-WUHY-855,02-03-2017,04:11:20,неправильный ввод пин-кода,да,257.36
юр. лицо,списание средств,3186.39,наличный,Брест,МаксБанк-JVKO-476,05-12-2009,12:48:27,успешно,да,306.58
юр. лицо,списание средств,3509.98,безналичный,Минск,Приорбанк-MQPO-878,23-03-2014,06:19:50,неправильный ввод пин-кода,да,303.75
юр. лицо,списание средств,2127.93,безналичный,Брест,БелАгропромбанк-ULUE-758,13-07-2018,16:44:33,неправильный ввод пин-кода,да,61.32
физ. лицо,списание средств,1317.69,безналичный,Гомель,Беларусбанк-TRJL-503,05-04-2012,04:21:50,успешно,да,94.87
юр. лицо,списание средств,4039.82,безналичный,Минск,Приорбанк-AJFH-999,10-08-2023,03:26:40,недостаточно средств,да,43.9
физ. лицо,списание средств,1079.14,безналичный,Брест,Приорбанк-OXDW-250,15-07-2013,22:08:15,успешно,да,14.87
юр. лицо,списание средств,2759.9,наличный,Брест,Приорбанк-ELLQ-251,03-08-2002,14:24:04,успешно,да,224.61
физ. лицо,списание средств,4868.5,наличный,Гомель,Приорбанк-BRKF-838,18-03-2019,06:09:18,успешно,да,306.08
физ. лицо,списание средств,3277.73,безналичный,Брест,Приорбанк-HVQP-893,15-03-2014,03:49:11,успешно,да,138.91
юр. лицо,списание средств,963.6,наличный,Брест,МаксБанк-VPBY-927,01-09-2014,21:05:42,неправильный ввод пин-кода,да,22.99
физ. лицо,списание средств,3780.94,наличный,Гродно,Беларусбанк-VOLP-259,06-03-2008,13:21:15,неправильный ввод пин-кода,да,311.35
физ. лицо,списание средств,2207.67,безналичный,Брест,Беларусбанк-YZMG-379,27-07-2000,20:35:15,успешно,да,199.8
физ. лицо,списание средств,2801.61,безналичный,Минск,МаксБанк-FIQA-815,01-02-2015,22:33:52,неправильный ввод пин-кода,да,191.59
физ. лицо,списание средств,1220.84,безналичный,Витебск,Белинвестбанк-IJAY-487,22-10-2014,14:00:05,успешно,да,95.34
юр. лицо,списание средств,4581.2,наличный,Гродно,БелАгропромбанк-TIRB-922,15-02-2014,19:21:28,недостаточно средств,да,58.93
физ. лицо,списание средств,203.88,безналичный,Витебск,Беларусбанк-YICF-007,26-12-2024,18:56:51,успешно,да,19.6
юр. лицо,списание средств,4928.79,безналичный,Минск,Беларусбанк-MGLI-602,04-03-2012,17:46:42,недостаточно средств,да,391.01
физ. лицо,списание средств,186.89,безналичный,Витебск,Приорбанк-OLAX-527,06-12-2009,03:26:42,неправильный ввод пин-кода,да,10.37
физ. лицо,списание средств,2656.11,наличный,Брест,Приорбанк-GTZR-878,17-10-2022,16:02:14,недостаточно средств,да,182.64
юр. лицо,списание средств,1605.18,наличный,Брест,МаксБанк-HRTU-210,28-03-2006,21:14:59,неправильный ввод пин-кода,да,71.28
юр. лицо,списание средств,4141.83,безналичный,Гродно,МаксБанк-JNTS-753,06-06-2018,11:42:51,неправильный ввод пин-кода,да,201.53
юр. лицо,списание средств,154.8,наличный,Витебск,Беларусбанк-YTNN-910,20-01-2001,13:52:50,неправильный ввод пин-кода,да,12.77
физ. лицо,списание средств,2681.23,наличный,Гомель,Беларусбанк-EMOD-899,28-08-2002,10:47:17,недостаточно средств,да,33.44
юр. лицо,списание средств,3885.56,безналичный,Гродно,БелАгропромбанк-EOVO-698,30-10-2017,07:02:05,недостаточно средств,да,159.59
физ. лицо,списание средств,4059.23,наличный,Гродно,МаксБанк-FIKE-347,10-07-2013,00:57:16,неправильный ввод пин-кода,да,401.87
юр. лицо,списание средств,3669.83,безналичный,Гомель,МаксБанк-VINS-280,15-07-2004,03:32:59,недостаточно средств,да,149.08
физ. лицо,списание средств,926.36,безналичный,Витебск,МаксБанк-OAYY-289,23-11-2016,15:01:07,неправильный ввод пин-кода,да,32.57
физ. лицо,списание средств,2094.48,безналичный,Гомель,Приорбанк-JVJB-252,18-03-2012,17:34:49,успешно,да,197.75
физ. лицо,списание средств,3174.05,наличный,Брест,МаксБанк-BICW-165,05-09-2013,10:00:53,успешно,да,83.16
юр. лицо,списание средств,3621.09,наличный,Гомель,Приорбанк-JSUI-162,02-07-2019,19:36:20,недостаточно средств,да,73.64
